path,start_line,end_line,kind,declared_purpose,actual_behavior,origin_alignment,utility,status,recommended_action,evidence
.github/workflows/benchmarks.yml,32,36,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,37,45,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,46,48,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/benchmarks.yml,49,51,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/ci-cd.yml,1,3,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,4,6,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,7,9,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,10,15,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,16,20,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,21,23,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,24,28,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,29,31,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,32,36,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,37,39,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,40,44,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,45,47,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,48,50,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,51,57,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci-cd.yml,58,61,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci-cd.yml,62,64,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,65,69,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,70,72,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,73,81,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,82,84,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,85,87,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,88,90,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-cd.yml,91,91,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,1,3,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,4,6,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,7,9,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,10,13,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,14,17,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,18,21,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,22,26,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,27,32,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,33,37,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,38,40,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,41,44,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci-core.yml,45,48,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci-core.yml,49,51,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci-core.yml,52,56,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci-core.yml,57,59,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,1,3,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,4,6,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,7,9,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,10,12,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,13,15,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,16,18,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,19,21,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,22,26,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,27,29,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,30,35,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,36,38,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,39,41,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,42,46,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci.yml,47,49,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,50,55,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/ci.yml,56,58,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/ci.yml,59,63,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/claude-code-review.yml,1,3,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,4,6,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,7,9,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,10,12,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,13,15,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,16,18,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,19,21,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,22,24,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,25,27,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,28,30,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,31,34,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,35,37,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude-code-review.yml,38,53,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/claude-code-review.yml,54,57,useful-extension,Repository support code/documentation.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/claude.yml,1,3,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,4,6,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,7,9,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,10,12,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,13,19,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,20,22,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,23,25,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,26,28,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,29,33,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,34,36,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,37,39,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,40,42,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,43,45,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,46,48,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/claude.yml,49,50,uncertain,Repository support code/documentation.,Unclear relation to core from automated scan; needs human review before preservation.,unknown,review manually,unknown,Manual review before expanding or deleting.,path classification: uncertain
.github/workflows/hermes-ci.yml,1,3,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/hermes-ci.yml,4,8,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/hermes-ci.yml,9,12,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/hermes-ci.yml,13,15,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,16,18,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,19,21,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,22,26,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,27,31,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,32,39,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,40,44,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,45,47,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/hermes-ci.yml,48,50,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,core-term
.github/workflows/hermes-ci.yml,51,54,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,55,57,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,58,60,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,61,63,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,64,66,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,67,69,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,70,72,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,73,75,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,76,78,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,79,83,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,84,86,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,87,89,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,90,93,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,94,97,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,98,100,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
.github/workflows/hermes-ci.yml,101,108,useful-extension,Scientific synthesis/adversarial review pipeline.,"Potentially useful extension around core memory/science/ops, but still needs contract checks.",medium,keep if contract-tested,candidate,Keep only behind explicit workflow/API contract.,path classification: useful-extension
